0.05	0	4.94066e-324
0.05	0.0116279	-1.24704
0.05	0.0232558	-0.972164
0.05	0.0348837	-1.27666
0.05	0.0465116	-1.31709
0.05	0.0581395	-0.452673
0.05	0.0697674	-1.00608
0.05	0.0813953	-0.208654
0.05	0.0930233	-0.0771463
0.05	0.104651	-0.483155
0.05	0.116279	0.112898
0.05	0.127907	-0.0642904
0.05	0.139535	-0.091529
0.05	0.151163	0.238346
0.05	0.162791	0.0641983
0.05	0.174419	-0.0129422
0.05	0.186047	0.310337
0.05	0.197674	0.21524
0.05	0.209302	0.0289815
0.05	0.22093	0.442821
0.05	0.232558	0.202951
0.05	0.244186	0.258953
0.05	0.255814	0.644268
0.05	0.267442	0.246121
0.05	0.27907	0.454395
0.05	0.290698	0.830333
0.05	0.302326	0.558041
0.05	0.313953	0.988962
0.05	0.325581	1.43612
0.05	0.337209	1.68319
0.05	0.348837	2.53284
0.05	0.360465	2.28464
0.05	0.372093	2.31943
0.05	0.383721	2.93173
0.05	0.395349	2.56087
0.05	0.406977	2.64588
0.05	0.418605	2.91712
0.05	0.430233	2.51321
0.05	0.44186	2.86252
0.05	0.453488	2.95891
0.05	0.465116	2.5538
0.05	0.476744	2.8497
0.05	0.488372	2.88288
0.05	0.5	2.65695
0.05	0.511628	2.88288
0.05	0.523256	2.8497
0.05	0.534884	2.5538
0.05	0.546512	2.95891
0.05	0.55814	2.86252
0.05	0.569767	2.51321
0.05	0.581395	2.91712
0.05	0.593023	2.64588
0.05	0.604651	2.56087
0.05	0.616279	2.93173
0.05	0.627907	2.31943
0.05	0.639535	2.28464
0.05	0.651163	2.53284
0.05	0.662791	1.68319
0.05	0.674419	1.43612
0.05	0.686047	0.988962
0.05	0.697674	0.558041
0.05	0.709302	0.830333
0.05	0.72093	0.454395
0.05	0.732558	0.246121
0.05	0.744186	0.644268
0.05	0.755814	0.258953
0.05	0.767442	0.202951
0.05	0.77907	0.442821
0.05	0.790698	0.0289815
0.05	0.802326	0.21524
0.05	0.813953	0.310337
0.05	0.825581	-0.0129422
0.05	0.837209	0.0641983
0.05	0.848837	0.238346
0.05	0.860465	-0.091529
0.05	0.872093	-0.0642904
0.05	0.883721	0.112898
0.05	0.895349	-0.483155
0.05	0.906977	-0.0771463
0.05	0.918605	-0.208654
0.05	0.930233	-1.00608
0.05	0.94186	-0.452673
0.05	0.953488	-1.31709
0.05	0.965116	-1.27666
0.05	0.976744	-0.972164
0.05	0.988372	-1.24704
0.05	1	4.24896e-322
0.1	0	4.94066e-324
0.1	0.0116279	0.457729
0.1	0.0232558	0.129934
0.1	0.0348837	0.0243505
0.1	0.0465116	-0.0687712
0.1	0.0581395	0.476954
0.1	0.0697674	-0.0321891
0.1	0.0813953	0.29211
0.1	0.0930233	0.435865
0.1	0.104651	0.0202169
0.1	0.116279	0.307964
0.1	0.127907	0.350291
0.1	0.139535	0.084581
0.1	0.151163	0.453696
0.1	0.162791	0.316777
0.1	0.174419	0.197345
0.1	0.186047	0.46971
0.1	0.197674	0.377763
0.1	0.209302	0.216905
0.1	0.22093	0.535028
0.1	0.232558	0.360032
0.1	0.244186	0.382677
0.1	0.255814	0.689183
0.1	0.267442	0.377381
0.1	0.27907	0.546772
0.1	0.290698	0.800678
0.1	0.302326	0.621674
0.1	0.313953	0.905634
0.1	0.325581	1.24185
0.1	0.337209	1.28723
